Recording Date,Production Order,Production Line,Material Type,Manufacturing Process,Width Change,Grammage,Length,Width,Reference,Reference Type,Team,Week Day,Shift,Speed,Ventilation 1,Ventilation 2,Ventilation 3,Ventilation 4,Ventilation 5,Ventilation 6,Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Tension,RC,VC,RC Out?,VC Out?
20180110195803,5160098136,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,B,QUA,2,32.33,1102.86,907.34,957.03,779.95,799.26,0.33,153.54,144.7,149.89,116.18,109.21,0.0,21.61,59.6,,"[59,60[",
20180110202818,5160098136,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,B,QUA,2,30.78,1103.08,906.68,957.25,780.38,799.05,0.33,154.21,145.17,149.8,117.31,108.29,0.0,21.59,59.6,,"[59,60[",
20180110202818,5160098136,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,C,QUA,3,30.78,1103.08,906.68,957.25,780.38,799.05,0.33,154.21,145.17,149.8,117.31,108.29,0.0,21.59,59.5,6.5,"[59,60[","[6.5,7.0["
20180110225659,5160098136,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,C,QUA,3,25.03,1088.32,847.01,895.83,794.7,799.91,0.33,138.87,128.92,133.28,114.2,103.46,0.0,3.62,58.4,6.3,"[58,59[","[6.0,6.5["
20180110225659,5160098136,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,C,QUA,3,25.03,1088.32,847.01,895.83,794.7,799.91,0.33,138.87,128.92,133.28,114.2,103.46,0.0,3.62,59.5,6.5,"[59,60[","[6.5,7.0["
20180111012911,5160098143,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,C,QUI,3,24.63,1088.32,848.52,895.83,795.57,799.91,0.33,139.0,128.16,133.03,114.37,103.42,0.0,17.07,56.7,6.5,"[56,57[","[6.5,7.0["
20180111034259,5160098143,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,C,QUI,3,24.84,1090.06,847.44,896.05,796.01,800.35,0.33,139.04,128.37,133.41,114.29,103.84,0.0,17.82,58.4,6.3,"[58,59[","[6.0,6.5["
20180111084626,5160098143,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,A,QUI,1,31.29,1205.73,908.85,955.95,842.66,800.35,0.33,151.29,138.15,143.21,118.15,109.3,0.0,28.13,58.9,,"[58,59[",
20180111105900,5160098143,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,A,QUI,1,32.56,1207.25,908.85,958.33,842.01,800.35,0.33,152.01,137.9,143.04,118.23,108.88,0.0,19.39,58.9,6.5,"[58,59[","[6.5,7.0["
20180111093111,5160098143,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,A,QUI,1,32.12,1206.81,907.77,957.03,843.1,800.35,0.33,151.84,138.79,143.55,119.49,108.37,0.0,20.86,59.0,,"[59,60[",
